# ORIG TITLE: 近年來大學學科能力測驗總級分人數分布-1, 2, 3
# ORIG AUTHORITY: Taiwan Ministry of Education (中華民國教育部）
# ORIG SOURCE: http://www.edu.tw/pages/detail.aspx?Node=3378&Page=14083&Index=5
# ORIG LINK:
#   * https://stats.moe.gov.tw/files/important/OVERVIEW_U18.XLS
#   * https://stats.moe.gov.tw/files/important/OVERVIEW_U19.XLS
#   * https://stats.moe.gov.tw/files/important/OVERVIEW_U20.XLS
#
# TITLE: Taiwan Proficiency Test Score Distribution form year(schoolyear) 2003(92) to 2013(102).
# DESC:
#   This dataset is re-organized by Liang Bo Wang at 2013.06 
#
schoolyear,year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
102,2013,1,0,12,28,26,27,25,28,24,30,34,36,44,67,128,210,349,565,819,1093,1402,1679,1936,1917,2050,2181,2095,2110,2003,2120,1994,2069,2097,2137,2264,2401,2544,2736,2704,2817,3060,3260,3364,3499,3732,3628,3760,3782,3909,3980,3902,3933,3844,4026,3935,3932,3874,3714,3519,3350,3171,3062,2783,2707,2531,2245,2040,1858,1664,1395,1200,934,711,576,363,163
101,2012,2,2,18,27,29,31,16,36,26,36,33,36,45,74,92,164,327,508,687,992,1173,1472,1548,1699,1920,1997,2040,2089,2080,2036,2088,2062,2128,2013,2194,2229,2347,2378,2645,2797,2817,3143,3214,3317,3334,3557,3722,3748,3815,3864,3913,3919,3976,3929,3922,3883,3887,3827,3740,3623,3534,3425,3289,3169,3085,2902,2663,2572,2403,2103,1853,1576,1266,954,584,288
100,2011,2,0,5,14,25,19,24,49,32,38,35,28,36,53,77,115,186,363,546,781,966,1203,1454,1667,1731,1909,2048,1962,2042,2072,2024,2210,2037,2116,2234,2348,2474,2588,2658,2755,2998,3225,3304,3388,3594,3640,3580,3737,3718,3880,3830,3785,3822,3852,3762,3719,3676,3568,3323,3372,3236,2960,2928,2784,2570,2368,2350,2039,1887,1661,1475,1209,951,715,431,200
99,2010,1,4,13,18,27,23,26,26,19,42,27,42,45,70,115,195,353,537,771,993,1239,1559,1725,1824,1932,2089,2090,2103,2103,2135,2214,2222,2346,2509,2715,2921,3093,3213,3461,3635,3741,3921,3976,4017,4066,4007,4114,4181,4020,3878,3809,3669,3563,3368,3317,3097,2977,2743,2583,2396,2311,2100,1890,1789,1647,1575,1379,1255,1076,909,817,672,511,351,228,112
98,2009,2,3,14,17,27,22,19,37,25,25,30,37,45,45,74,129,228,362,487,681,854,1073,1296,1472,1679,1740,1857,1930,1936,1990,2063,2088,2153,2256,2339,2499,2802,2922,3063,3338,3650,3855,3970,4102,4163,4284,4358,4364,4460,4224,4186,4080,4066,3946,3600,3539,3343,3240,3052,2764,2619,2351,2246,1967,1744,1574,1361,1144,961,815,700,551,437,297,226,109
97,2008,2,3,9,24,26,21,31,27,24,30,35,46,50,76,118,181,296,451,730,984,1267,1436,1713,1889,2132,2107,2137,2193,2201,2333,2383,2436,2409,2563,2624,2815,2992,3009,3228,3452,3530,3759,3940,4130,4175,4279,4272,4425,4319,4286,4324,4156,3957,3863,3860,3611,3290,3227,2983,2867,2631,2389,2230,2015,1872,1569,1431,1250,1069,978,789,623,482,351,222,87
96,2007,2,3,10,13,14,16,30,20,31,25,40,33,36,65,77,142,235,405,632,863,1087,1307,1450,1706,1769,1882,1991,1998,2097,2128,2157,2300,2482,2472,2750,3042,3260,3406,3672,3976,4043,4291,4602,4657,4853,4900,4855,4809,4740,4597,4528,4396,4302,4026,3849,3559,3451,3217,3023,2724,2419,2141,1954,1818,1640,1434,1280,1129,946,797,725,561,503,283,180,68
95,2006,1,3,18,29,19,36,31,29,34,43,36,45,68,78,145,235,389,624,824,1140,1441,1671,1936,2186,2283,2460,2495,2498,2689,2592,2678,2833,2905,3073,3346,3469,3703,3811,4094,4333,4410,4538,4557,4642,4658,4650,4514,4522,4352,4235,4212,4035,3751,3673,3354,3315,3157,2993,2771,2507,2402,2150,2018,1886,1735,1502,1396,1280,1122,981,803,680,524,382,232,159
94,2005,1,2,13,23,24,34,24,27,41,29,32,28,50,35,45,78,172,260,451,688,985,1223,1564,1832,1945,2199,2353,2383,2514,2616,2619,2650,2778,2781,3041,3221,3435,3643,3916,4127,4551,4746,4888,4937,5085,5215,5125,4917,5037,4757,4536,4379,4201,3973,3736,3561,3357,3083,2852,2642,2435,2233,2006,1753,1634,1410,1262,1158,978,831,719,574,462,318,192,106
93,2004,4,2,4,10,14,19,17,26,20,36,31,27,23,35,42,59,91,141,222,315,486,609,825,1079,1335,1574,1788,1863,2100,2178,2403,2454,2516,2737,3041,3122,3431,3665,3996,4250,4634,4928,5137,5336,5438,5714,5663,5401,5360,5193,5096,4749,4473,4322,3935,3749,3389,3074,2947,2621,2453,2220,1911,1790,1549,1378,1181,981,833,752,579,469,344,223,138,76
92,2003,2439,3,8,17,18,26,16,22,20,23,19,26,29,47,51,56,83,156,225,412,583,786,1086,1343,1582,1963,2164,2331,2494,2544,2758,2799,2876,2992,3109,3388,3600,3785,4192,4495,4643,4840,5127,5379,5457,5600,5562,5518,5557,5309,5161,4918,4719,4464,4195,3905,3654,3400,3001,2661,2502,2245,2008,1761,1529,1360,1150,1005,835,695,589,439,329,240,140,58
